item_idx,recipe_id
880,3145
881,3146
882,3149
883,3154
884,3157
885,3158
886,3159
887,3160
888,3161
889,3163
890,3164
891,3165
892,3166
893,3168
894,3173
895,3179
896,3180
897,3182
898,3183
899,3184
900,3185
901,3186
902,3187
903,3189
904,3194
905,3195
906,3196
907,3198
908,3199
909,3200
910,3201
911,3203
912,3205
913,3206
914,3208
915,3211
916,3212
917,3216
918,3218
919,3219
920,3221
921,3222
922,3225
923,3230
924,3232
925,3233
926,3237
927,3238
928,3242
929,3243
930,3247
931,3250
932,3251
933,3252
934,3254
935,3258
936,3259
937,3261
938,3262
939,3263
940,3264
941,3267
942,3271
943,3273
944,3274
945,3278
946,3284
947,3285
948,3286
949,3292
950,3293
951,3294
952,3295
953,3296
954,3301
955,3304
956,3305
957,3308
958,3313
959,3319
960,3320
961,3321
962,3323
963,3324
964,3328
965,3330
966,3332
967,3333
968,3335
969,3336
970,3338
971,3339
972,3343
973,3344
974,3345
975,3347
976,3351
977,3352
978,3357
979,3358
980,3359
981,3363
982,3365
983,3367
984,3368
985,3370
986,3371
987,3376
988,3377
989,3378
990,3380
991,3381
992,3382
993,3383
994,3384
995,3387
996,3389
997,3390
998,3392
999,3397
1000,3399
1001,3400
1002,3401
1003,3402
1004,3403
1005,3405
1006,3407
1007,3408
1008,3409
1009,3412
1010,3415
1011,3416
1012,3420
1013,3422
1014,3425
1015,3427
1016,3428
1017,3430
1018,3431
1019,3434
1020,3436
1021,3439
1022,3441
1023,3444
1024,3445
1025,3446
1026,3450
1027,3451
1028,3459
1029,3463
1030,3464
1031,3470
1032,3471
1033,3472
1034,3473
1035,3476
1036,3478
1037,3479
1038,3482
1039,3488
1040,3490
1041,3492
1042,3493
1043,3495
1044,3496
1045,3497
1046,3498
1047,3500
1048,3503
1049,3504
1050,3506
1051,3507
1052,3508
1053,3514
1054,3515
1055,3516
1056,3517
1057,3519
1058,3520
1059,3525
1060,3526
1061,3533
1062,3541
1063,3543
1064,3547
1065,3549
1066,3553
1067,3555
1068,3556
1069,3557
1070,3559
1071,3560
1072,3563
1073,3565
1074,3566
1075,3567
1076,3568
1077,3570
1078,3572
1079,3576
1080,3577
1081,3579
1082,3581
1083,3582
1084,3588
1085,3590
1086,3591
1087,3592
1088,3593
1089,3594
1090,3595
1091,3597
1092,3598
1093,3599
1094,3600
1095,3601
1096,3602
1097,3603
1098,3605
1099,3608
1100,3609
1101,3610
1102,3611
1103,3612
1104,3614
1105,3616
1106,3617
1107,3620
1108,3621
1109,3623
1110,3624
1111,3626
1112,3627
1113,3628
1114,3630
1115,3632
1116,3636
1117,3642
1118,3646
1119,3647
1120,3649
1121,3651
1122,3653
1123,3654
1124,3656
1125,3657
1126,3659
1127,3662
1128,3664
1129,3665
1130,3667
1131,3668
1132,3672
1133,3675
1134,3681
1135,3682
1136,3683
1137,3687
1138,3688
1139,3689
1140,3691
1141,3693
1142,3696
1143,3701
1144,3702
1145,3704
1146,3707
1147,3710
1148,3711
1149,3712
1150,3713
1151,3714
1152,3715
1153,3716
1154,3718
1155,3720
1156,3722
1157,3723
1158,3728
1159,3729
1160,3730
1161,3731
1162,3739
1163,3741
1164,3742
1165,3743
1166,3745
1167,3748
1168,3752
1169,3754
1170,3755
1171,3759
1172,3760
1173,3763
1174,3764
1175,3767
1176,3768
1177,3771
1178,3772
1179,3773
1180,3779
1181,3780
1182,3782
1183,3786
1184,3787
1185,3788
1186,3790
1187,3794
1188,3795
1189,3796
1190,3797
1191,3800
1192,3801
1193,3802
1194,3803
1195,3805
1196,3806
1197,3807
1198,3809
1199,3811
1200,3812
1201,3816
1202,3828
1203,3830
1204,3832
1205,3834
1206,3837
1207,3838
1208,3840
1209,3841
1210,3842
1211,3843
1212,3844
1213,3845
1214,3846
1215,3847
1216,3849
1217,3852
1218,3857
1219,3858
1220,3860
1221,3862
1222,3866
1223,3868
1224,3870
1225,3873
1226,3874
1227,3875
1228,3876
1229,3877
1230,3881
1231,3884
1232,3888
1233,3889
1234,3892
1235,3899
1236,3900
1237,3902
1238,3910
1239,3912
1240,3913
1241,3916
1242,3917
1243,3918
1244,3920
1245,3921
1246,3925
1247,3928
1248,3929
1249,3934
1250,3937
1251,3940
1252,3941
1253,3952
1254,3954
1255,3961
1256,3963
1257,3966
1258,3969
1259,3974
1260,3975
