item_idx,recipe_id
878,3185
879,3186
880,3187
881,3189
882,3194
883,3195
884,3196
885,3198
886,3199
887,3200
888,3201
889,3203
890,3205
891,3206
892,3208
893,3211
894,3212
895,3216
896,3218
897,3219
898,3221
899,3222
900,3225
901,3230
902,3232
903,3233
904,3237
905,3238
906,3242
907,3243
908,3247
909,3250
910,3251
911,3252
912,3254
913,3258
914,3259
915,3264
916,3267
917,3271
918,3273
919,3274
920,3278
921,3284
922,3285
923,3286
924,3292
925,3293
926,3294
927,3295
928,3296
929,3301
930,3304
931,3305
932,3308
933,3313
934,3319
935,3321
936,3323
937,3324
938,3328
939,3330
940,3332
941,3333
942,3335
943,3336
944,3338
945,3339
946,3343
947,3344
948,3345
949,3347
950,3351
951,3352
952,3357
953,3358
954,3359
955,3363
956,3365
957,3367
958,3368
959,3370
960,3371
961,3376
962,3377
963,3378
964,3380
965,3381
966,3382
967,3383
968,3384
969,3387
970,3389
971,3390
972,3392
973,3397
974,3399
975,3400
976,3401
977,3402
978,3403
979,3405
980,3407
981,3408
982,3409
983,3412
984,3415
985,3416
986,3420
987,3422
988,3425
989,3427
990,3430
991,3431
992,3434
993,3436
994,3439
995,3441
996,3444
997,3445
998,3446
999,3450
1000,3451
1001,3459
1002,3463
1003,3464
1004,3470
1005,3471
1006,3472
1007,3473
1008,3476
1009,3478
1010,3479
1011,3482
1012,3488
1013,3490
1014,3492
1015,3493
1016,3495
1017,3496
1018,3497
1019,3498
1020,3503
1021,3504
1022,3506
1023,3507
1024,3508
1025,3514
1026,3516
1027,3517
1028,3519
1029,3520
1030,3525
1031,3526
1032,3533
1033,3541
1034,3543
1035,3547
1036,3549
1037,3553
1038,3555
1039,3556
1040,3557
1041,3559
1042,3560
1043,3563
1044,3565
1045,3566
1046,3567
1047,3568
1048,3570
1049,3572
1050,3577
1051,3579
1052,3581
1053,3582
1054,3588
1055,3591
1056,3592
1057,3593
1058,3594
1059,3595
1060,3597
1061,3598
1062,3599
1063,3600
1064,3601
1065,3602
1066,3603
1067,3605
1068,3608
1069,3609
1070,3610
1071,3611
1072,3612
1073,3614
1074,3616
1075,3617
1076,3620
1077,3621
1078,3623
1079,3624
1080,3626
1081,3627
1082,3628
1083,3630
1084,3632
1085,3636
1086,3642
1087,3646
1088,3647
1089,3649
1090,3651
1091,3653
1092,3654
1093,3656
1094,3657
1095,3659
1096,3662
1097,3664
1098,3665
1099,3667
1100,3668
1101,3675
1102,3681
1103,3682
1104,3683
1105,3687
1106,3688
1107,3689
1108,3691
1109,3693
1110,3696
1111,3701
1112,3702
1113,3704
1114,3707
1115,3710
1116,3711
1117,3712
1118,3713
1119,3714
1120,3715
1121,3716
1122,3718
1123,3720
1124,3722
1125,3723
1126,3728
1127,3729
1128,3730
1129,3731
1130,3739
1131,3741
1132,3742
1133,3743
1134,3745
1135,3748
1136,3752
1137,3754
1138,3755
1139,3759
1140,3760
1141,3763
1142,3764
1143,3767
1144,3768
1145,3771
1146,3772
1147,3773
1148,3779
1149,3780
1150,3782
1151,3786
1152,3787
1153,3788
1154,3790
1155,3794
1156,3795
1157,3796
1158,3797
1159,3800
1160,3801
1161,3803
1162,3805
1163,3806
1164,3807
1165,3809
1166,3811
1167,3812
1168,3816
1169,3828
1170,3830
1171,3832
1172,3834
1173,3837
1174,3838
1175,3840
1176,3841
1177,3842
1178,3845
1179,3846
1180,3847
1181,3849
1182,3852
1183,3857
1184,3858
1185,3860
1186,3862
1187,3866
1188,3868
1189,3870
1190,3873
1191,3874
1192,3875
1193,3876
1194,3877
1195,3881
1196,3884
1197,3888
1198,3889
1199,3892
1200,3899
1201,3900
1202,3902
1203,3910
1204,3912
1205,3913
1206,3916
1207,3917
1208,3918
1209,3920
1210,3921
1211,3925
1212,3928
1213,3929
1214,3937
1215,3940
1216,3941
1217,3952
1218,3954
1219,3961
1220,3963
1221,3965
1222,3966
1223,3969
1224,3974
1225,3975
1226,3976
1227,3977
1228,3979
1229,3980
1230,3983
1231,3988
1232,3993
1233,3995
1234,4000
1235,4002
1236,4003
1237,4004
1238,4007
1239,4009
1240,4010
1241,4015
1242,4018
1243,4019
1244,4021
1245,4022
1246,4024
1247,4026
1248,4028
1249,4029
1250,4032
1251,4034
1252,4035
1253,4036
1254,4037
1255,4038
1256,4040
1257,4042
1258,4044
